Date,Open,Low,High,Close,Volume
2002.01.01,0.8918,0.8919,0.8863,0.8896,521
2002.01.02,0.8896,0.9069,0.8883,0.9037,9544
2002.01.03,0.9035,0.9061,0.8974,0.8993,10006
2002.01.04,0.8995,0.9003,0.8938,0.8947,9679
2002.01.05,0.8945,0.8962,0.8942,0.8948,283
2002.01.07,0.895,0.8998,0.8881,0.8933,9182
2002.01.08,0.8933,0.894,0.8882,0.893,9855
2002.01.09,0.8931,0.8954,0.8864,0.8912,9429
2002.01.10,0.8913,0.8941,0.89,0.891,9121
2002.01.11,0.8914,0.8934,0.8895,0.8923,8764
2002.01.12,0.8923,0.8928,0.8917,0.8922,310
2002.01.14,0.8945,0.8956,0.8914,0.894,9071
2002.01.15,0.8942,0.8947,0.8828,0.8832,9590
2002.01.16,0.8831,0.8847,0.8802,0.8833,9796
2002.01.17,0.8833,0.8854,0.8793,0.8812,9551
2002.01.18,0.8809,0.8853,0.8795,0.8838,8921
2002.01.19,0.8839,0.8849,0.8836,0.8845,264
2002.01.21,0.884,0.8869,0.8824,0.8836,8142
2002.01.22,0.8835,0.8867,0.8811,0.8865,9504
2002.01.23,0.8864,0.8892,0.8765,0.8777,9776
2002.01.24,0.878,0.8796,0.8752,0.8772,9400
2002.01.25,0.8773,0.8788,0.8631,0.8661,9949
2002.01.26,0.8657,0.8662,0.8644,0.8644,281
2002.01.28,0.8645,0.8666,0.857,0.8626,9868
2002.01.29,0.8626,0.8659,0.8592,0.8651,9219
2002.01.30,0.8651,0.8677,0.8599,0.8616,9300
2002.01.31,0.8615,0.8647,0.8576,0.858,9049
2002.02.01,0.8582,0.8644,0.8562,0.8616,9026
2002.02.02,0.8616,0.8629,0.8614,0.8622,337
2002.02.04,0.8615,0.8713,0.8605,0.8711,7964
2002.02.05,0.8708,0.8734,0.8651,0.8681,8661
2002.02.06,0.868,0.8708,0.8633,0.8678,8712
2002.02.07,0.8677,0.8719,0.8645,0.871,8541
2002.02.08,0.8712,0.8756,0.8696,0.8729,8358
2002.02.09,0.8728,0.8738,0.8719,0.8722,409
