Date,Open,High,Low,Close,PivotType,Fractal
2010.10.07 13:00,1.3967200000000002,1.39781,1.39624,1.3970799999999999,None,No
2010.10.07 14:00,1.39707,1.39959,1.39685,1.3988,None,No
2010.10.07 15:00,1.39878,1.40285,1.3963700000000001,1.40232,BR,No
2010.10.07 16:00,1.40229,1.40244,1.3932,1.39435,None,No
2010.10.07 17:00,1.39421,1.3949200000000002,1.3916600000000001,1.39394,None,No
2010.10.07 18:00,1.3939700000000002,1.39402,1.39096,1.39198,None,No
2010.10.07 19:00,1.39192,1.3927,1.38568,1.38834,BL,No
2010.10.07 20:00,1.3884299999999998,1.3901299999999999,1.38721,1.3898700000000002,None,No
2010.10.07 21:00,1.38989,1.39287,1.38955,1.39287,None,No
2010.10.07 22:00,1.39291,1.39291,1.39078,1.3911200000000001,BR,No
2010.10.07 23:00,1.39111,1.39275,1.39101,1.3925100000000001,None,No
2010.10.08 00:00,1.39252,1.39285,1.39123,1.39136,None,No
2010.10.08 01:00,1.39144,1.39286,1.39144,1.39252,BR,No
2010.10.08 02:00,1.39249,1.39249,1.3913,1.39239,None,No
2010.10.08 03:00,1.3924,1.39296,1.39025,1.3908,BR,No
2010.10.08 04:00,1.3908399999999999,1.3923,1.3907,1.39171,None,No
2010.10.08 05:00,1.3916899999999999,1.39586,1.3913799999999998,1.39562,None,No
2010.10.08 06:00,1.3956,1.39619,1.3947399999999999,1.39553,BR,No
2010.10.08 07:00,1.39555,1.39568,1.39456,1.3950200000000001,None,No
2010.10.08 08:00,1.395,1.3952200000000001,1.39313,1.39313,None,No
2010.10.08 09:00,1.39314,1.39456,1.39232,1.39266,None,No
2010.10.08 10:00,1.39267,1.3945100000000001,1.39157,1.39192,None,No
2010.10.08 11:00,1.39193,1.3928200000000002,1.3891,1.39083,BL,No
2010.10.08 12:00,1.39086,1.3923,1.3896600000000001,1.39081,None,No
2010.10.08 13:00,1.3908200000000002,1.39109,1.3842,1.38821,BL,Yes
2010.10.08 14:00,1.38816,1.39125,1.38762,1.38821,None,No
2010.10.08 15:00,1.3881700000000001,1.39831,1.38341,1.3874799999999998,BR,No
2010.10.08 16:00,1.38778,1.39435,1.38469,1.3928399999999999,None,No
2010.10.08 17:00,1.39286,1.39568,1.3914,1.39326,BR,No
2010.10.08 18:00,1.39327,1.3939,1.39025,1.39216,BL,No
2010.10.08 19:00,1.39219,1.39252,1.3909,1.3912,None,No
2010.10.08 20:00,1.3913,1.3919,1.3902,1.3903,None,No
2010.10.08 21:00,1.3903,1.3917,1.39,1.391,BL,No
2010.10.08 22:00,1.391,1.3933,1.3908,1.3928,None,No
2010.10.11 01:00,1.4002,1.4002,1.3973,1.3975,None,No
2010.10.11 02:00,1.3975,1.4007,1.3975,1.3996,BR,Yes
2010.10.11 03:00,1.3996,1.3998,1.3959,1.3964,BL,No
2010.10.11 04:00,1.3964,1.3992,1.3962,1.3988,None,No
2010.10.11 05:00,1.3988,1.3992,1.3971,1.3974,None,No
2010.10.11 06:00,1.3975,1.3982,1.3961,1.3965,BL,No
2010.10.11 07:00,1.3965,1.3981,1.3965,1.3973,None,No
2010.10.11 08:00,1.3973,1.3975,1.3963,1.3967,None,No
2010.10.11 09:00,1.3966,1.3986,1.3951,1.3962,BR,No
2010.10.11 10:00,1.3961,1.3975,1.3915,1.3918,BL,No
2010.10.11 11:00,1.3917,1.3955,1.3917,1.3945,None,No
2010.10.11 12:00,1.3944,1.3953,1.3934,1.3941,None,No
2010.10.11 13:00,1.3940000000000001,1.3947,1.393,1.393,None,No
2010.10.11 14:00,1.3931,1.39477,1.39254,1.39421,BR,No
2010.10.11 15:00,1.3941700000000001,1.3945,1.39239,1.39323,None,No
2010.10.11 16:00,1.39325,1.3941700000000001,1.39237,1.39354,None,No
2010.10.11 17:00,1.3934799999999998,1.39411,1.38905,1.38944,None,No
2010.10.11 18:00,1.38943,1.3904,1.38719,1.38743,None,No
2010.10.11 19:00,1.38745,1.38933,1.38659,1.38862,BL,No
2010.10.11 20:00,1.38859,1.39005,1.38795,1.3885100000000001,BR,No
2010.10.11 21:00,1.38849,1.38941,1.3878700000000002,1.3888,None,No
2010.10.11 22:00,1.38881,1.38881,1.38669,1.3872,BL,No
2010.10.11 23:00,1.38716,1.3882,1.3869799999999999,1.3875600000000001,None,No
2010.10.12 00:00,1.38761,1.38824,1.38715,1.38812,None,No
2010.10.12 01:00,1.38812,1.3886100000000001,1.38761,1.38791,BR,No
2010.10.12 02:00,1.38792,1.38792,1.3855899999999999,1.3864100000000001,BL,No
2010.10.12 03:00,1.38639,1.3869999999999998,1.3857,1.38616,None,No
2010.10.12 04:00,1.38618,1.38679,1.38445,1.38637,BL,No
2010.10.12 05:00,1.38638,1.38816,1.38578,1.3877899999999999,BR,No
2010.10.12 06:00,1.38778,1.38806,1.38717,1.38806,None,No
2010.10.12 07:00,1.38804,1.38804,1.38589,1.3865,None,No
2010.10.12 08:00,1.38647,1.38781,1.3834799999999998,1.3840700000000001,None,No
2010.10.12 09:00,1.38395,1.38435,1.38068,1.3822,None,No
2010.10.12 10:00,1.38221,1.3848799999999999,1.38056,1.3814899999999999,BR,No
2010.10.12 11:00,1.3814600000000001,1.38206,1.37752,1.37886,BL,Yes
2010.10.12 12:00,1.37887,1.38278,1.3782,1.38184,BR,No
2010.10.12 13:00,1.3818700000000002,1.38194,1.37845,1.38096,None,No
2010.10.12 14:00,1.381,1.38326,1.38008,1.38224,None,No
2010.10.12 15:00,1.38226,1.3852200000000001,1.3811799999999999,1.3844299999999998,BR,No
2010.10.12 16:00,1.3844100000000001,1.38483,1.3796700000000002,1.38129,BL,No
2010.10.12 17:00,1.38134,1.3848,1.38086,1.38326,None,No
2010.10.12 18:00,1.38324,1.38638,1.38311,1.3845,None,No
2010.10.12 19:00,1.38452,1.38818,1.38452,1.38659,BR,No
2010.10.12 20:00,1.38662,1.3867200000000002,1.38471,1.38543,None,No
2010.10.12 21:00,1.38547,1.39344,1.38381,1.39114,BR,No
2010.10.12 22:00,1.39111,1.39295,1.39056,1.39165,None,No
2010.10.12 23:00,1.39157,1.3925,1.39107,1.39241,None,No
2010.10.13 00:00,1.39244,1.39273,1.39139,1.3915,BR,No
2010.10.13 01:00,1.39151,1.39191,1.3914600000000001,1.39161,None,No
2010.10.13 02:00,1.3916,1.39254,1.39116,1.392,BL,No
2010.10.13 03:00,1.3919700000000002,1.39435,1.39175,1.3938700000000002,None,No
2010.10.13 04:00,1.39389,1.39656,1.39323,1.3958,None,No
2010.10.13 05:00,1.3957700000000002,1.3973,1.3953,1.3969999999999998,None,No
2010.10.13 06:00,1.39703,1.39775,1.39564,1.39657,BR,No
2010.10.13 07:00,1.39659,1.39751,1.39584,1.39723,None,No
2010.10.13 08:00,1.39725,1.39751,1.39537,1.39641,None,No
2010.10.13 09:00,1.39639,1.39655,1.39431,1.3954600000000001,BL,No
2010.10.13 10:00,1.3955,1.39957,1.39517,1.39936,None,No
2010.10.13 11:00,1.39937,1.3999700000000002,1.3967399999999999,1.39731,None,No
2010.10.13 12:00,1.39734,1.40009,1.39721,1.39856,BR,Yes
2010.10.13 13:00,1.39855,1.39876,1.3965,1.39761,None,No
2010.10.13 14:00,1.39763,1.39768,1.39593,1.39631,None,No
2010.10.13 15:00,1.3963,1.39737,1.39514,1.3963,None,No
2010.10.13 16:00,1.3963299999999998,1.39647,1.39121,1.39134,BL,No
2010.10.13 17:00,1.39136,1.39614,1.39135,1.396,None,No
2010.10.13 18:00,1.39598,1.39915,1.39527,1.3962,BR,No
2010.10.13 19:00,1.3962299999999999,1.3969999999999998,1.39376,1.3952,BL,No
2010.10.13 20:00,1.39514,1.3968399999999999,1.39483,1.3964,None,No
2010.10.13 21:00,1.3963700000000001,1.39716,1.3954600000000001,1.3961,BR,No
2010.10.13 22:00,1.3961299999999999,1.39645,1.3955,1.39553,None,No
2010.10.13 23:00,1.39555,1.39646,1.39536,1.39605,BL,No
2010.10.14 00:00,1.39608,1.39648,1.39544,1.39593,None,No
2010.10.14 01:00,1.39594,1.39662,1.39543,1.3966,BL,No
2010.10.14 02:00,1.39657,1.39879,1.3965,1.39818,None,No
2010.10.14 03:00,1.39815,1.40553,1.39815,1.40355,None,No
2010.10.14 04:00,1.4035799999999998,1.40851,1.40193,1.4083,None,No
2010.10.14 05:00,1.40832,1.40933,1.40727,1.4078700000000002,BR,No
2010.10.14 06:00,1.4078899999999999,1.40846,1.40689,1.40696,None,No
2010.10.14 07:00,1.40695,1.40803,1.4066,1.4069999999999998,BL,No
2010.10.14 08:00,1.4069999999999998,1.4086,1.4069999999999998,1.4078,None,No
2010.10.14 09:00,1.4077,1.4102,1.4064,1.4098,BL,No
2010.10.14 10:00,1.4097,1.41215,1.4080000000000001,1.4115,BR,No
2010.10.14 11:00,1.41145,1.4117,1.40677,1.40772,BL,No
2010.10.14 12:00,1.40774,1.40977,1.40711,1.40781,None,No
2010.10.14 13:00,1.40782,1.40801,1.40575,1.4063700000000001,None,No
2010.10.14 14:00,1.40641,1.40972,1.40531,1.4084,BL,No
2010.10.14 15:00,1.40838,1.41087,1.40697,1.40778,BR,No
2010.10.14 16:00,1.40781,1.40865,1.40462,1.4065,BL,No
2010.10.14 17:00,1.40651,1.40895,1.40629,1.40841,None,No
2010.10.14 18:00,1.4084,1.40896,1.40475,1.40649,BR,No
2010.10.14 19:00,1.40646,1.4067399999999999,1.40527,1.40547,None,No
2010.10.14 20:00,1.4055,1.40754,1.4035799999999998,1.40736,BL,No
2010.10.14 21:00,1.40734,1.40819,1.40523,1.40561,BR,No
2010.10.14 22:00,1.4056,1.40735,1.40517,1.4069999999999998,BL,No
2010.10.14 23:00,1.4070200000000002,1.40864,1.4070200000000002,1.40824,BR,No
2010.10.15 00:00,1.40826,1.40838,1.40725,1.4079899999999999,None,No
2010.10.15 01:00,1.40788,1.40788,1.40685,1.40696,None,No
2010.10.15 02:00,1.4069999999999998,1.40706,1.40183,1.40246,None,No
2010.10.15 03:00,1.40244,1.4038,1.40079,1.4036,BL,Yes
2010.10.15 04:00,1.4036,1.4048,1.4028,1.4029,BR,No
2010.10.15 05:00,1.4029,1.4036,1.402,1.4029,BL,No
2010.10.15 06:00,1.4029,1.4047,1.4023,1.4037,None,No
2010.10.15 07:00,1.4037,1.4047,1.4034,1.4042,None,No
2010.10.15 08:00,1.4042,1.4062,1.4036,1.4052,None,No
2010.10.15 09:00,1.4059,1.40957,1.4058,1.4091200000000002,BR,No
2010.10.15 10:00,1.40914,1.4095600000000001,1.40669,1.40866,None,No
2010.10.15 11:00,1.4086299999999998,1.41126,1.40818,1.40973,BR,No
2010.10.15 12:00,1.40972,1.41039,1.40832,1.4093,None,No
2010.10.15 13:00,1.40927,1.40975,1.4073,1.40765,None,No
2010.10.15 14:00,1.40762,1.41012,1.4072,1.40954,BL,No
2010.10.15 15:00,1.40952,1.41505,1.40737,1.40815,BR,Yes
2010.10.15 16:00,1.40819,1.4094,1.40298,1.40299,None,No
2010.10.15 17:00,1.40298,1.40439,1.3986399999999999,1.40109,BL,No
2010.10.15 18:00,1.4010200000000002,1.40462,1.39937,1.39954,BR,No
2010.10.15 19:00,1.39961,1.40165,1.39713,1.40106,None,No
2010.10.15 20:00,1.40114,1.4011799999999999,1.39628,1.3964299999999998,None,No
2010.10.15 21:00,1.39644,1.3968,1.39368,1.39618,BL,No
2010.10.15 22:00,1.39619,1.39761,1.39583,1.3973,None,No
2010.10.15 23:00,1.3973200000000001,1.39771,1.39688,1.39762,BR,No
2010.10.18 01:00,1.39727,1.39734,1.3956600000000001,1.39621,None,No
2010.10.18 02:00,1.39626,1.39734,1.39412,1.39507,None,No
2010.10.18 03:00,1.39511,1.3953200000000001,1.39183,1.3929,None,No
2010.10.18 04:00,1.39291,1.39408,1.38978,1.3903,None,No
2010.10.18 05:00,1.39029,1.39076,1.38624,1.38805,BL,No
2010.10.18 06:00,1.38811,1.389,1.38781,1.3881299999999999,None,No
2010.10.18 07:00,1.38815,1.38949,1.3881299999999999,1.3891200000000001,BR,No
2010.10.18 08:00,1.38917,1.3893,1.38635,1.38753,None,No
2010.10.18 09:00,1.3875600000000001,1.3895600000000001,1.38552,1.38858,BR,No
2010.10.18 10:00,1.38856,1.38876,1.38594,1.38625,None,No
2010.10.18 11:00,1.3862700000000001,1.38717,1.38305,1.38642,BL,Yes
2010.10.18 12:00,1.3864100000000001,1.3908399999999999,1.3857700000000002,1.38986,None,No
2010.10.18 13:00,1.38983,1.392,1.38886,1.39076,BR,No
2010.10.18 14:00,1.39078,1.3914,1.38865,1.38887,None,No
2010.10.18 15:00,1.3889,1.39235,1.3881,1.3916,BL,No
2010.10.18 16:00,1.39163,1.39608,1.39105,1.39481,None,No
2010.10.18 17:00,1.3948399999999999,1.39737,1.3944,1.39658,None,No
2010.10.18 18:00,1.39659,1.39761,1.39514,1.3976,None,No
2010.10.18 19:00,1.39757,1.39886,1.39734,1.3988399999999999,None,No
2010.10.18 20:00,1.3988200000000002,1.3996,1.3982,1.39839,None,No
2010.10.18 21:00,1.3983700000000001,1.39975,1.3977700000000002,1.39962,BL,No
2010.10.18 22:00,1.39963,1.39975,1.3979,1.39916,None,No
2010.10.18 23:00,1.39914,1.39942,1.39336,1.39336,None,No
2010.10.19 00:00,1.39334,1.3950200000000001,1.39301,1.39483,None,No
2010.10.19 01:00,1.3948200000000002,1.3948200000000002,1.3928200000000002,1.39341,BL,No
